#################################################
# List of available commands
# Add commands from your own extensions here as
#################################################

Next Error|View.NextError
Enable All Breakpoints|Debug.EnableAllBreakpoints
Terminate All|Debug.TerminateAll
Symbol Settings|DebuggerContextMenus.AutosWindow.SymbolSettings
Load Symbols|DebuggerContextMenus.AutosWindow.LoadSymbols
Symbol Load Information|DebuggerContextMenus.AutosWindow.SymbolLoadInformation
Stop Evaluation|Debug.StopEvaluation
Processes|Debug.Processes
Toggle Flagged Threads|Debug.LocationToolbar.ToggleFlaggedThreads
Flag|DebuggerContextMenus.GPUThreadsWindowShortcutMenu.Flag
Unflag|DebuggerContextMenus.GPUThreadsWindowShortcutMenu.Unflag
Break In File|Debug.BreakInFile
Breakat Function|Debug.BreakatFunction
Break At Address|Debug.BreakAtAddress
New Data Breakpoint|Debug.NewDataBreakpoint
Breakpoint Location|EditorContextMenus.CodeWindow.Breakpoint.BreakpointLocation
Breakpoint Condition|EditorContextMenus.CodeWindow.Breakpoint.BreakpointCondition
Breakpoint Hit Count|EditorContextMenus.CodeWindow.Breakpoint.BreakpointHitCount
Breakpoint Filter|EditorContextMenus.CodeWindow.Breakpoint.BreakpointFilter
Breakpoint When Hit|EditorContextMenus.CodeWindow.Breakpoint.BreakpointWhenHit
Make Object I D|DebuggerContextMenus.AutosWindow.MakeObjectID
Copy Expression|DebuggerContextMenus.DataTipWindow.CopyExpression
Copy Value|DebuggerContextMenus.DataTipWindow.CopyValue
Delete Object I D|DebuggerContextMenus.AutosWindow.DeleteObjectID
Exception Messages|DebuggerContextMenus.OutputWindow.ExceptionMessages
Module Load Messages|DebuggerContextMenus.OutputWindow.ModuleLoadMessages
Module Unload Messages|DebuggerContextMenus.OutputWindow.ModuleUnloadMessages
Process Exit Messages|DebuggerContextMenus.OutputWindow.ProcessExitMessages
Thread Exit Messages|DebuggerContextMenus.OutputWindow.ThreadExitMessages
Program Output|DebuggerContextMenus.OutputWindow.ProgramOutput
Step Into Current Process|Debug.StepIntoCurrentProcess
Step Over Current Process|Debug.StepOverCurrentProcess
Step Out Current Process|Debug.StepOutCurrentProcess
Toggle Current Thread Flagged State|Debug.LocationToolbar.ToggleCurrentThreadFlaggedState
Show Thread Ip Indicators|DebuggerContextMenus.GPUThreadsWindowShortcutMenu.Debug.LocationToolbar.ShowThreadIpIndicators
Step Filtering Messages|DebuggerContextMenus.OutputWindow.StepFilteringMessages
Stepoverpropertiesandoperators|Debug.Stepoverpropertiesandoperators
Step Into Specific|Debug.StepIntoSpecific
Breakpoint Editlabels|EditorContextMenus.CodeWindow.Breakpoint.BreakpointEditlabels
Breakpoint Export|EditorContextMenus.CodeWindow.Breakpoint.BreakpointExport
#Options and Settings|Debug.OptionsandSettings
#Run Flagged Threads To Cursor|Debug.RunFlaggedThreadsToCursor
#Toggle Show Current Process Only|Debug.LocationToolbar.ToggleShowCurrentProcessOnly
#Run Current Tile To Cursor|Debug.RunCurrentTileToCursor
#Add Parallel Watch|Debug.AddParallelWatch
#Debug Installed App Package|Debug.DebugInstalledAppPackage
Go To Source Code|DebuggerContextMenus.BreakpointsWindow.GoToSourceCode
#Exportselected|DebuggerContextMenus.BreakpointsWindow.Exportselected
#Name|DebuggerContextMenus.BreakpointsWindow.SortBy.Name
#Condition|DebuggerContextMenus.BreakpointsWindow.SortBy.Condition
#Hit Count|DebuggerContextMenus.BreakpointsWindow.SortBy.HitCount
#Language|DebuggerContextMenus.BreakpointsWindow.SortBy.Language
#Function|DebuggerContextMenus.BreakpointsWindow.SortBy.Function
#File|DebuggerContextMenus.BreakpointsWindow.SortBy.File
#Address|DebuggerContextMenus.BreakpointsWindow.SortBy.Address
#Data|DebuggerContextMenus.BreakpointsWindow.SortBy.Data
#Process|DebuggerContextMenus.BreakpointsWindow.SortBy.Process
#Filter|DebuggerContextMenus.BreakpointsWindow.SortBy.Filter
#When Hit|DebuggerContextMenus.BreakpointsWindow.SortBy.WhenHit
#Label|DebuggerContextMenus.BreakpointsWindow.SortBy.Label
#Disablesorting|DebuggerContextMenus.BreakpointsWindow.SortBy.Disablesorting
#Show Address|DebuggerContextMenus.DisassemblyWindow.ShowAddress
#Show Source Code|DebuggerContextMenus.DisassemblyWindow.ShowSourceCode
#Show Code Bytes|DebuggerContextMenus.DisassemblyWindow.ShowCodeBytes
#Show Symbol Names|DebuggerContextMenus.DisassemblyWindow.ShowSymbolNames
#Show Line Numbers|DebuggerContextMenus.DisassemblyWindow.ShowLineNumbers
#Show Toolbar|DebuggerContextMenus.DisassemblyWindow.ShowToolbar
#Toggle Disassembly|Debug.ToggleDisassembly
#Reevaluate Automatically|DebuggerContextMenus.MemoryWindow.ReevaluateAutomatically
#No Data|DebuggerContextMenus.MemoryWindow.NoData
#1byte Integer|DebuggerContextMenus.MemoryWindow.1byteInteger
#2byte Integer|DebuggerContextMenus.MemoryWindow.2byteInteger
#4byte Integer|DebuggerContextMenus.MemoryWindow.4byteInteger
#8byte Integer|DebuggerContextMenus.MemoryWindow.8byteInteger
#32bit Floating Point|DebuggerContextMenus.MemoryWindow.32bitFloatingPoint
#64bit Floating Point|DebuggerContextMenus.MemoryWindow.64bitFloatingPoint
#Signed Display|DebuggerContextMenus.MemoryWindow.SignedDisplay
#Unsigned Display|DebuggerContextMenus.MemoryWindow.UnsignedDisplay
#Big Endian|DebuggerContextMenus.MemoryWindow.BigEndian
#No Text|DebuggerContextMenus.MemoryWindow.NoText
#A N S I Text|DebuggerContextMenus.MemoryWindow.ANSIText
#Unicode Text|DebuggerContextMenus.MemoryWindow.UnicodeText
#Edit Value|DebuggerContextMenus.AutosWindow.EditValue
#Show Modulesforall Processes|DebuggerContextMenus.ModulesWindow.ShowModulesforallProcesses
#Switch To Frame|DebuggerContextMenus.CallStackWindow.SwitchToFrame
#Show Parameter Values|DebuggerContextMenus.StacksWindowShortcutMenu.ShowParameterValues
#Show Parameter Types|DebuggerContextMenus.StacksWindowShortcutMenu.ShowParameterTypes
#Show Parameter Names|DebuggerContextMenus.StacksWindowShortcutMenu.ShowParameterNames
#Show Module Names|DebuggerContextMenus.StacksWindowShortcutMenu.ShowModuleNames
#Show Byte Offsets|DebuggerContextMenus.StacksWindowShortcutMenu.ShowByteOffsets
#Include Calls To From Other Threads|DebuggerContextMenus.CallStackWindow.IncludeCallsToFromOtherThreads
Show External Code|DebuggerContextMenus.StacksWindowShortcutMenu.ShowExternalCode
Unwind To This Frame|DebuggerContextMenus.CallStackWindow.UnwindToThisFrame
Continue Process|DebuggerContextMenus.ProcessesWindow.ContinueProcess
Break Process|DebuggerContextMenus.ProcessesWindow.BreakProcess
Detach Process|DebuggerContextMenus.ProcessesWindow.DetachProcess
Terminate Process|DebuggerContextMenus.ProcessesWindow.TerminateProcess
Detachwhendebuggingstopped|DebuggerContextMenus.ProcessesWindow.Detachwhendebuggingstopped
Switchto Thread X|DebuggerContextMenus.ThreadIPMarker.SwitchtoThreadX
Propagate Side Effects|DebuggerContextMenus.WatchWindow.PropagateSideEffects
#List Memory|Debug.ListMemory
#List Call Stack|Debug.ListCallStack
#List Disassembly|Debug.ListDisassembly
#List Registers|Debug.ListRegisters
#List Threads|Debug.ListThreads
#Set Radix|Debug.SetRadix
#Set Current Thread|Debug.SetCurrentThread
#Set Current Stack Frame|Debug.SetCurrentStackFrame
#List Source|Debug.ListSource
#Symbol Path|Debug.SymbolPath
#List Modules|Debug.ListModules
#List Processes|Debug.ListProcesses
#Set Current Process|Debug.SetCurrentProcess
#Memory1|Debug.Memory1
#Watch1|Debug.Watch1
#Memory2|Debug.Memory2
#Watch2|Debug.Watch2
#Memory3|Debug.Memory3
#Watch3|Debug.Watch3
#Memory4|Debug.Memory4
#Watch4|Debug.Watch4
#Clear All Data Tips|Debug.ClearAllDataTips
#Show Application Thumbnail|Debug.ShowApplicationThumbnail
Run Code Analysison Solution|Build.RunCodeAnalysisonSolution
Add Window|Project.AddWindow
Add Page|Project.AddPage
#Add Resource Dictionary|Project.AddResourceDictionary
#Design|OtherContextMenus.ObjectNode.Design
#Modify Connection|OtherContextMenus.ServerExplorer.ModifyConnection
#Close Connection|OtherContextMenus.ServerExplorer.CloseConnection
#Insert S Q L|EditorContextMenus.CodeWindow.InsertSQL
#Run Selection|Project.RunSelection
#Retrieve Data|OtherContextMenus.ObjectNode.RetrieveData
#Edit|OtherContextMenus.ObjectNode.Edit
#Execute|EditorContextMenus.CodeWindow.Execute
#Design S Q L Block|EditorContextMenus.CodeWindow.DesignSQLBlock
#Detach Database|OtherContextMenus.ServerExplorer.DetachDatabase
#Browse In S Q L Server Object Explorer|OtherContextMenus.ServerExplorer.BrowseInSQLServerObjectExplorer
#Add New Table|OtherContextMenus.StaticNode.AddNewTable
Add New View|OtherContextMenus.StaticNode.AddNewView
#Add New Stored Procedure|OtherContextMenus.StaticNode.AddNewStoredProcedure
#Inline Function|OtherContextMenus.StaticNode.AddNew.InlineFunction
#Tablevalued Function|OtherContextMenus.StaticNode.AddNew.TablevaluedFunction
#Scalarvalued Function|OtherContextMenus.StaticNode.AddNew.ScalarvaluedFunction
#Add New Trigger|OtherContextMenus.StaticNode.AddNewTrigger
New Query|OtherContextMenus.StaticNode.NewQuery
Add New Diagram|OtherContextMenus.StaticNode.AddNewDiagram
Add Related Tables|DatabaseDiagram.AddRelatedTables
Arrange Tables|DatabaseDiagram.ArrangeTables
Arrange Selection|DatabaseDiagram.ArrangeSelection
Insert Column|TableDesigner.InsertColumn
Delete Column|TableDesigner.DeleteColumn
New Text Annotation|DatabaseDiagram.NewTextAnnotation
Show Relationship Labels|DatabaseDiagram.ShowRelationshipLabels
View Page Breaks|DatabaseDiagram.ViewPageBreaks
Recalculate Page Breaks|DatabaseDiagram.RecalculatePageBreaks
Custom|TableDesigner.Custom
Deletefrom Database|Edit.DeletefromDatabase
Autosize Selected Tables|DatabaseDiagram.AutosizeSelectedTables
Modify Custom|TableDesigner.ModifyCustom
#Set Font|DatabaseDiagram.SetFont
#200|DatabaseDiagram.200
#150|DatabaseDiagram.150
#100|DatabaseDiagram.100
#75|DatabaseDiagram.75
#50|DatabaseDiagram.50
#25|DatabaseDiagram.25
#10|DatabaseDiagram.10
#To Fit|DatabaseDiagram.ToFit
#Add Table|DatabaseDiagram.AddTable
#Copy Diagramto Clipboard|Edit.CopyDiagramtoClipboard
#Removefrom Diagram|DatabaseDiagram.RemovefromDiagram
#Indexesand Keys|TableDesigner.IndexesandKeys
#Relationships|TableDesigner.Relationships
#Check Constraints|TableDesigner.CheckConstraints
Add Event Handler|Edit.AddEventHandler
Import|OtherContextMenus.ResourceView.Import
#Edit Control|OtherContextMenus.ResourceEditors.EditControl
#Copyand Outline Selection|Image.CopyandOutlineSelection
#Use Selectionas Brush|Image.UseSelectionasBrush
#Convert|File.Convert
#Conditional Down|Edit.ConditionalDown
#Conditional Up|Edit.ConditionalUp
#Go To Dialog|ClassViewContextMenus.ClassViewMultiselectProjectreferencesItems.GoToDialog
#Rescan Solution|Project.RescanSolution
#Resolve Results|OtherContextMenus.FindSymbol.ResolveResults
#Hide Unconfirmed|OtherContextMenus.FindSymbol.HideUnconfirmed
#Property Manager|View.PropertyManager
#View Code Gen File|View.ViewCodeGenFile
#Convertto Web Application|ClassViewContextMenus.ClassViewProject.ConverttoWebApplication
#Openin Blend|View.OpeninBlend
Add View|EditorContextMenus.CodeWindow.AddView
#View|ProjectandSolutionContextMenus.Project.Add.View
#Controller|ProjectandSolutionContextMenus.Project.Add.Controller
#Area|ProjectandSolutionContextMenus.Project.Add.Area
#Database Properties|OtherContextMenus.ServerExplorer.DatabaseProperties
#Create Table|OtherContextMenus.StaticNode.CreateTable
#Table Properties|OtherContextMenus.ObjectNode.TableProperties
#Drop Table|OtherContextMenus.ObjectNode.DropTable
#Create Index|OtherContextMenus.StaticNode.CreateIndex
#Index Properties|OtherContextMenus.ObjectNode.IndexProperties
#Drop Index|OtherContextMenus.ObjectNode.DropIndex
#Column Properties|OtherContextMenus.ObjectNode.ColumnProperties
#Edit Table Schema|OtherContextMenus.ObjectNode.EditTableSchema
#Show Item|EditorContextMenus.CodeWindow.CodeMap.ShowItem
#Reveal Findall References|EditorContextMenus.CodeWindow.CodeMap.RevealFindallReferences
#S S D T Reanalyze Project|Project.SSDTReanalyzeProject
#S S D T Publish|ClassViewContextMenus.ClassViewProject.SSDTPublish
#S S D T Publish Selection|Build.SSDTPublishSelection
#S S D T Publish From File|ProjectandSolutionContextMenus.Item.SSDTPublishFromFile
#S S D T Set As Default Publish Profile|ProjectandSolutionContextMenus.Item.SSDTSetAsDefaultPublishProfile
#S S D T Show All Files|Project.SSDTShowAllFiles
#T Sql Editor Connect|SQL.TSqlEditorConnect
#T Sql Editor Disconnect|SQL.TSqlEditorDisconnect
#T Sql Editor Clone Query|TSqlEditorCloneQuery
#T Sql Editor Execute Query|SQL.TSqlEditorExecuteQuery
#T Sql Editor Cancel Query|SQL.TSqlEditorCancelQuery
#T Sql Editor Show Estimated Plan|SQL.TSqlEditorShowEstimatedPlan
#T Sql Editor Toggle Intellisense|SQL.TSqlEditorToggleIntellisense
#T Sql Editor Toggle Sql Cmd Mode|SQL.TSqlEditorToggleSqlCmdMode
#T Sql Editor Toggle Client Statistics|SQL.TSqlEditorToggleClientStatistics
#T Sql Editor Toggle Execution Plan|SQL.TSqlEditorToggleExecutionPlan
#T Sql Editor Results As Text|SQL.TSqlEditorResultsAsText
#T Sql Editor Results As Grid|SQL.TSqlEditorResultsAsGrid
#T Sql Editor Results As File|SQL.TSqlEditorResultsAsFile
#T Sql Editor Query Options|SQL.TSqlEditorQueryOptions
#T Sql Editor Toggle Results Pane|SQL.TSqlEditorToggleResultsPane
#T Sql Editor New Query Connection|SQL.TSqlEditorNewQueryConnection
#Save Results As|OtherContextMenus.SQLResultsGridTabContext.SaveResultsAs
#T Sql Editor Parse Query|SQL.TSqlEditorParseQuery
#Execute With Debugger|SQL.ExecuteWithDebugger
#Bring Forward|Format.BringForward
#Edit Current|Format.EditCurrent
#Edit a Copy|Format.EditaCopy
#Create Empty|Format.CreateEmpty
Diff Files|Tools.DiffFiles
Page Inspector|View.PageInspector
Team Explorer Search|Team.TeamExplorerSearch
#Parallel Watch1|Debug.ParallelWatch1
Go To View|EditorContextMenus.CodeWindow.GoToView
#Data Tools Operations|View.DataToolsOperations
#Moveto Schema|SQL.MovetoSchema
#S S D T Launch Schema Compare From Solution Explorer|ProjectandSolutionContextMenus.Project.SSDTLaunchSchemaCompareFromSolutionExplorer
Go To Controller|OtherContextMenus.ASPXContext.GoToController
Expand Wildcards|SQL.ExpandWildcards
#Fullyqualify Names|SQL.FullyqualifyNames
#Clear Datatips On Current File|Debug.ClearDatatipsOnCurrentFile
#S S D T Add New Check Constraint|SSDTAddNewCheckConstraint
#S S D T Add New Sql View|ProjectandSolutionContextMenus.Project.Add.SSDTAddNewSqlView
#S S D T Add New Sql Table Valued Function|ProjectandSolutionContextMenus.Project.Add.SSDTAddNewSqlTableValuedFunction
#S S D T Add New Sql Stored Procedure|ProjectandSolutionContextMenus.Project.Add.SSDTAddNewSqlStoredProcedure
#S S D T Add New Sql Scalar Function|ProjectandSolutionContextMenus.Project.Add.SSDTAddNewSqlScalarFunction
#S S D T Add New Sql Inline Function|ProjectandSolutionContextMenus.Project.Add.SSDTAddNewSqlInlineFunction
#S S D T Add New Aggregate Function|SSDTAddNewAggregateFunction
#S S D T Add New Sql Application Role|SSDTAddNewSqlApplicationRole
#S S D T Add New Sql Clr Assembly|SSDTAddNewSqlClrAssembly
#S S D T Add New Sql Asymmetric Key|SSDTAddNewSqlAsymmetricKey
#S S D T Add New Sql Certificate|SSDTAddNewSqlCertificate
#S S D T Add New Sql Contract|SSDTAddNewSqlContract
#S S D T Add New Sql Database Role|SSDTAddNewSqlDatabaseRole
#S S D T Add New Sql Database Trigger|SSDTAddNewSqlDatabaseTrigger
#S S D T Add New Sql Event Notification|SSDTAddNewSqlEventNotification
#S S D T Add New Sql Foreign Key|SSDTAddNewSqlForeignKey
#S S D T Add New Sql Fulltext Catalog|SSDTAddNewSqlFulltextCatalog
#S S D T Add New Sql Fulltext Index|SSDTAddNewSqlFulltextIndex
#S S D T Add New Sql Index|SSDTAddNewSqlIndex
#S S D T Add New Sql Instead Of Trigger|SSDTAddNewSqlInsteadOfTrigger
#S S D T Add New Sql Message Type|SSDTAddNewSqlMessageType
#S S D T Add New Sql Partition Function|SSDTAddNewSqlPartitionFunction
#S S D T Add New Sql Partition Scheme|SSDTAddNewSqlPartitionScheme
#S S D T Add New Sql Primary Key|SSDTAddNewSqlPrimaryKey
#S S D T Add New Sql Queue|SSDTAddNewSqlQueue
#S S D T Add New Sql Remote Service Binding|SSDTAddNewSqlRemoteServiceBinding
#S S D T Add New Sql Route|SSDTAddNewSqlRoute
#S S D T Add New Sql Schema|SSDTAddNewSqlSchema
#S S D T Add New Sql Service|SSDTAddNewSqlService
#S S D T Add New Sql Statistics|SSDTAddNewSqlStatistics
#S S D T Add New Sql Symmetric Key|SSDTAddNewSqlSymmetricKey
#S S D T Add New Sql Synonym|SSDTAddNewSqlSynonym
#S S D T Add New Sql Trigger|SSDTAddNewSqlTrigger
#S S D T Add New Sql User Defined Data Type|SSDTAddNewSqlUserDefinedDataType
#S S D T Add New Sql Unique Key|SSDTAddNewSqlUniqueKey
#S S D T Add New Sql User|SSDTAddNewSqlUser
#S S D T Add New Sql User Defined Clr Type|SSDTAddNewSqlUserDefinedClrType
#S S D T Add New Sql Xml Index|SSDTAddNewSqlXmlIndex
#S S D T Add New Sql Xml Schema Collection|SSDTAddNewSqlXmlSchemaCollection
#S S D T Add New Sql User Defined Table Type|SSDTAddNewSqlUserDefinedTableType
#S S D T Add New Sql Login|SSDTAddNewSqlLogin
#S S D T Add New Sql Rule|SSDTAddNewSqlRule
#S S D T Add New Sql Linked Server|SSDTAddNewSqlLinkedServer
#S S D T Add New Sql Custom Error Message|SSDTAddNewSqlCustomErrorMessage
#S S D T Add New Sql Filegroup|SSDTAddNewSqlFilegroup
#S S D T Add New Sql Master Key|SSDTAddNewSqlMasterKey
#S S D T Add New Sql Filegroup File|SSDTAddNewSqlFilegroupFile
#S S D T Add New Sql Log File|SSDTAddNewSqlLogFile
#S S D T Add New Sql Linked Server Login|SSDTAddNewSqlLinkedServerLogin
#S S D T Add New Sql Default Constraint|SSDTAddNewSqlDefaultConstraint
#S S D T Add New Sql Signature|SSDTAddNewSqlSignature
#S S D T Addnew Sql Server Trigger|SSDTAddnewSqlServerTrigger
#S S D T Add New Sql Tcp End Point|SSDTAddNewSqlTcpEndPoint
#S S D T Add New Sql Http End Point|SSDTAddNewSqlHttpEndPoint
#S S D T Add New Sql Broker Priority|SSDTAddNewSqlBrokerPriority
#S S D T Add New Sql Database Audit Specification|SSDTAddNewSqlDatabaseAuditSpecification
#S S D T Add New Sql Server Audit Specification|SSDTAddNewSqlServerAuditSpecification
#S S D T Add New Sql Event Session|SSDTAddNewSqlEventSession
#S S D T Add New Sql Full Text Stop List|SSDTAddNewSqlFullTextStopList
#S S D T Add New Sql Spatial Index|SSDTAddNewSqlSpatialIndex
#S S D T Add New Sql Server Audit|SSDTAddNewSqlServerAudit
#S S D T Add New Cryptographic Provider|SSDTAddNewCryptographicProvider
#S S D T Add New Credential|SSDTAddNewCredential
#S S D T Data View Schema Compare|OtherContextMenus.ServerExplorer.SSDTDataViewSchemaCompare
#S E New Query|OtherContextMenus.SQLServerObjectExplorerContextMenu.SENewQuery
#S E Add New Database Audit Specification|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewDatabaseAuditSpecification
#S E Add New Full Text Stoplist|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewFullTextStoplist
#S E Add New Fulltext Catalog|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewFulltextCatalog
#S E Add New Sequence|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewSequence
#S E Add New Instead Of Trigger|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewInsteadOfTrigger
#S E Add New File Table|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewFileTable
#S E Add New Fulltext Index|OtherContextMenus.SQLServerObjectExplorerContextMenu.AddNew.SEAddNewFulltextIndex
#S E Add New Index|OtherContextMenus.SQLServerObjectExplorerContextMenu.AddNew.SEAddNewIndex
#S E Add New X M L Index|OtherContextMenus.SQLServerObjectExplorerContextMenu.AddNew.SEAddNewXMLIndex
#S E Add New Statistics|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewStatistics
#S E Add New Linked Server Login|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewLinkedServerLogin
#S E Add New Login|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewLogin
#S E Add New Credential|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewCredential
#S E View Data|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEViewData
#S E Add New Aggregate Add New|OtherContextMenus.SQLServerObjectExplorerContextMenu.AddNew.SEAddNewAggregateAddNew
#S E Add New Table Function Add New|OtherContextMenus.SQLServerObjectExplorerContextMenu.AddNew.SEAddNewTableFunctionAddNew
#S E Add New Scalar Function|OtherContextMenus.SQLServerObjectExplorerContextMenu.AddNew.SEAddNewScalarFunction
#S E Add New Inline Function Add New|OtherContextMenus.SQLServerObjectExplorerContextMenu.AddNew.SEAddNewInlineFunctionAddNew
#S E Add New Search Property List|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewSearchPropertyList
#S E Add New Server Role|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewServerRole
#S E Add New User With Password|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewUserWithPassword
#S E Add New Login S Q L Server|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddNewLoginSQLServer
#Pin Active Container|Format.PinActiveContainer
#S E New Database|OtherContextMenus.SQLServerObjectExplorerContextMenu.SENewDatabase
#S E New Object|OtherContextMenus.SQLServerObjectExplorerContextMenu.SENewObject
#S S D T Import Dac|Project.SSDTImportDac
#S S D T Import Script|Project.SSDTImportScript
#S S D T Create Dacpac From Project|Build.SSDTCreateDacpacFromProject
#S S D T Import Database Schema|Project.SSDTImportDatabaseSchema
#S E View Code|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEViewCode
#S E View Permissions|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEViewPermissions
#View In Table Designer From Server Explorer|OtherContextMenus.SQLServerObjectExplorerContextMenu.ViewInTableDesignerFromServerExplorer
#S E Create New Project|OtherContextMenus.SQLServerObjectExplorerContextMenu.SECreateNewProject
#S E Application Debugging|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEApplicationDebugging
#S E Execute Procedure|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEExecuteProcedure
#S E Debug Procedure|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEDebugProcedure
#S E Go To Project|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEGoToProject
#S E Disconnect From Server|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEDisconnectFromServer
#S E Delete Server Instance|OtherContextMenus.SQLServerObjectExplorerContextMenu.SEDeleteServerInstance
#Send Backward|Format.SendBackward
#Cancel Interactive Evaluation|OtherContextMenus.FSIConsoleContext.CancelInteractiveEvaluation
#Start Debug Target|Debug.StartDebugTarget
#Flag Unflag Thread X|DebuggerContextMenus.ThreadIPMarker.FlagUnflagThreadX
Clear|DebuggerContextMenus.DataTipsContext.Clear
Call Hierarchy|View.CallHierarchy
#Add As New Root|OtherContextMenus.CallHierarchyContextMenu.AddAsNewRoot
#Package Manager Console|View.PackageManagerConsole
#S S D T Add New Database Reference|Project.SSDTAddNewDatabaseReference
#Class Wizard|Project.ClassWizard
#Intelli Trace Events|Debug.IntelliTraceEvents
#Group By|OtherContextMenus.ParallelTasksWindowShortcutMenu.GroupBy
#Parallel Watch2|Debug.ParallelWatch2
#Intelli Trace Calls|Debug.IntelliTraceCalls
#Reset Interactive Session|OtherContextMenus.FSIConsoleContext.ResetInteractiveSession
#Code Coverage Results|Test.CodeCoverageResults
#S S D T Start Collecting Events|SSDTStartCollectingEvents
#S S D T Stop Collecting Events|SSDTStopCollectingEvents
#S S D T Event Monitor Filter|SSDTEventMonitorFilter
#Move To Diagram|ArchitectureDesigner.Sequence.MoveToDiagram
#Collapse Lifelines|ArchitectureDesigner.Sequence.CollapseLifelines
#Expand|ArchitectureDesigner.Sequence.Expand
#S S D T Event Monitor|ProjectandSolutionContextMenus.Project.SSDTEventMonitor
#S S D T Dump Schema Manager|SSDTDumpSchemaManager
#S S D T Event Monitor Save To File|SSDTEventMonitorSaveToFile
Commit All Edits|CommitAllEdits
#S S D T Add New Sql Table|ProjectandSolutionContextMenus.Project.Add.SSDTAddNewSqlTable
#S S D T Dump Project System|SSDTDumpProjectSystem
#S S D T Dump G C|SSDTDumpGC
#S S D T Start G C Collection|SSDTStartGCCollection
#Convert Ts Data Project|ProjectandSolutionContextMenus.Project.ConvertTsDataProject
#Convert Solution|ConvertSolution
Navigate To|Edit.NavigateTo
#Remove Root|OtherContextMenus.CallHierarchyContextMenu.RemoveRoot
#Add To Designer|OtherContextMenus.ServerExplorer.AddToDesigner
#Switch To Task|OtherContextMenus.ParallelTasksWindowShortcutMenu.SwitchToTask
#Parallel Watch3|Debug.ParallelWatch3
View in Page Inspector|OtherContextMenus.BasicContext.ViewinPageInspector
#S S D T Add New Script|ProjectandSolutionContextMenus.Project.Add.SSDTAddNewScript
#Data Table|OtherContextMenus.DataSourceContext.Add.DataTable
#Arrange|DebuggerContextMenus.DataTipsContext.Arrange
#Pin To Source|EditorContextMenus.CodeWindow.PinToSource
#Freeze Assigned Threads|OtherContextMenus.ParallelTasksWindowShortcutMenu.FreezeAssignedThreads
#Parallel Watch4|Debug.ParallelWatch4
#Switch Between Left And Right|Diff.SwitchBetweenLeftAndRight
#Relation|OtherContextMenus.DataSourceContext.Add.Relation
#Configure|OtherContextMenus.DbTableContext.Configure
#Thaw Assigned Threads|OtherContextMenus.ParallelTasksWindowShortcutMenu.ThawAssignedThreads
#Flag Assigned Threads|OtherContextMenus.ParallelTasksWindowShortcutMenu.FlagAssignedThreads
#Key|OtherContextMenus.DbTableContext.Add.Key
#Unflag Assigned Threads|OtherContextMenus.ParallelTasksWindowShortcutMenu.UnflagAssignedThreads
#Column|OtherContextMenus.DbTableContext.Add.Column
Autosize|View.Autosize
#Show Relation Labels|OtherContextMenus.DataSourceContext.ShowRelationLabels
#Add Expression|DebuggerContextMenus.WatchItemContext.AddExpression
#Remove Expression|DebuggerContextMenus.WatchItemContext.RemoveExpression
#Always Load Automatically|DebuggerContextMenus.AutosWindow.AlwaysLoadAutomatically
#Export Data Tips|Debug.ExportDataTips
#Stop Collection|DiagnosticsHub.StopCollection
#Import Data Tips|Debug.ImportDataTips
#Startup Project Properties|Debug.StartupProjectProperties
Refresh Windowsapp|Debug.RefreshWindowsapp
Build Page|Build.BuildPage
Build Runtime Licenses|Build.BuildRuntimeLicenses
Export Template|File.ExportTemplate
New Web Site|File.NewWebSite
New Team Project|File.NewTeamProject
Batch New Team Project|File.BatchNewTeamProject
Open Web Site|File.OpenWebSite
Connect to Team Project|File.ConnecttoTeamProject
Open from Portal|File.OpenfromPortal
Add New Web Site|File.AddNewWebSite
Add Existing Web Site|File.AddExistingWebSite
Add Row|Edit.AddRow
Remove Row|Edit.RemoveRow
Select None|Edit.SelectNone
Edit Cell|Edit.EditCell
Paste JSON As Classes|Edit.PasteJSONAsClasses
Paste XML As Classes|Edit.PasteXMLAsClasses
#View Data Grid|View.ViewDataGrid
#XML Schema Explorer|View.XMLSchemaExplorer
