#################################################
# List of available commands
# Add commands from your own extensions here as
#################################################

Next Error|View.NextError
Debug Help Context|Help.DebugHelpContext
Samples|Help.Samples
Add Remove Toolbox Items|Tools.AddRemoveToolboxItems
Reset Toolbox|Tools.ResetToolbox
Save Selected Items|File.SaveSelectedItems
Save|File.SaveSelectedItems
View Designer|View.ViewDesigner
View In Browser|File.ViewinBrowser
Browse With|File.BrowseWith
Edit Label|View.EditLabel
Exceptions|Debug.Exceptions
Elasticcolumn|DebuggerContextMenus.AutosWindow.Elasticcolumn
Toggle Designer|View.ToggleDesigner
Zoom|View.Zoom
Stop Search|Edit.StopSearch
Start Without Debugging|Debug.StartWithoutDebugging
Lock Controls|Format.LockControls
Find Next|Edit.FindNext
Find Previous|Edit.FindPrevious
Find Next Selected|Edit.FindNextSelected
Find Previous Selected|Edit.FindPreviousSelected
Insert Breakpoint|EditorContextMenus.CodeWindow.Breakpoint.InsertBreakpoint
Enable Breakpoint|Debug.EnableBreakpoint
F1 Help|Help.F1Help
Moveto Next Tab Group|Window.MovetoNextTabGroup
Moveto Previous Tab Group|Window.MovetoPreviousTabGroup
Properties|Project.Properties
Reload Project|Project.ReloadProject
Unload Project|Project.UnloadProject
Select Project Template|File.SelectProjectTemplate
No Commands Available|OtherContextMenus.NoCommandsAvailable.NoCommandsAvailable
#Alias|Tools.Alias
Go To Command Line|Tools.GoToCommandLine
Immediate Mode|Tools.ImmediateMode
Evaluate Statement|Debug.EvaluateStatement
#Find Results1|View.FindResults1
#Find Results2|View.FindResults2
Windows|Window.Windows
Auto Hide All|Window.AutoHideAll
Class View|View.ClassView
Next Split Pane|Window.NextSplitPane
Previous Split Pane|Window.PreviousSplitPane
Close All Documents|Window.CloseAllDocuments
Next Document Window|Window.NextDocumentWindow
Previous Document Window|Window.PreviousDocumentWindow
External Tools|Tools.ExternalTools
Cycle Clipboard Ring|Edit.CycleClipboardRing
Show All|Tools.ShowAll
Project Dependencies|Project.ProjectDependencies
Close Document Window|Window.CloseDocumentWindow
Sort Items Alphabetically|Tools.SortItemsAlphabetically
Command Window|View.CommandWindow
Log Command Window Output|Tools.LogCommandWindowOutput
Shell|Tools.Shell
Regular Expression Help|OtherContextMenus.FindRegularExpressionBuilder.RegularExpressionHelp
Autos|Debug.Autos
Configuration Manager|Build.ConfigurationManager
Add New Project|File.AddNewProject
Add Existing Project|File.AddExistingProject
Navigate Backward|View.NavigateBackward
Navigate Forward|View.NavigateForward
Build Solution|Build.BuildSolution
Rebuild Solution|Build.RebuildSolution
Deploy Solution|Build.DeploySolution
Clean Solution|Build.CleanSolution
Build Selection|Build.BuildSelection
Rebuild Selection|Build.RebuildSelection
Deploy Selection|Build.DeploySelection
Clean Selection|Build.CleanSelection
Batch Build|Build.BatchBuild
Build|ClassViewContextMenus.ClassViewProject.Build
Rebuild|ClassViewContextMenus.ClassViewProject.Rebuild
Deploy|ClassViewContextMenus.ClassViewProject.Deploy
Clean|ClassViewContextMenus.ClassViewProject.Clean
Item Path|Tools.ItemPath
Item Directory|Tools.ItemDirectory
Item File Name|Tools.ItemFileName
Item Extension|Tools.ItemExtension
Project Directory|Tools.ProjectDirectory
Project File Name|Tools.ProjectFileName
Solution Directory|Tools.SolutionDirectory
Solution File Name|Tools.SolutionFileName
Go To Definition|Edit.GoToDefinition
Go To Declaration|Edit.GoToDeclaration
Browse Definition|View.BrowseDefinition
Synchronize Class View|View.SynchronizeClassView
Show References|View.ShowReferences
Add Class|Project.AddClass
Add Nested Class|Project.AddNestedClass
Add Interface|Project.AddInterface
Add Method|Project.AddMethod
Add Property|Project.AddProperty
Add Event|Project.AddEvent
Add Variable|Project.AddVariable
Implement Interface|Project.ImplementInterface
Override|Project.Override
Add Function|Project.AddFunction
Add Connection Point|Project.AddConnectionPoint
